Participant,Parent Node,Child Node 1,Child Node 2,Quotes,Summary of Child Node 1,Summary of Child Node 2
KII_06,Other Recommendations,Responsible Authorities,,"Mark those areas where you find the most vulnerable people and identify their needs in terms of the support they require in case of heat. If you have funding, you can massively support them by improving their way of living, making their settlements better, ensuring good air flow.",,
KII_06,Other Recommendations,Responsible Authorities,,"But if you sit with one of their local leaders or elders and say the message through them, see how much more impact it has. And there should be a follow-up. I mean, just telling them is not enough, monitoring is essential, which I think is the key thing. Monitoring, evaluation, and learning in this framework, that’s crucial for any sort of development. If you want to see its progress, or understand whether it has worked or not, the follow-up is really important. So, the best way to reach out to local people, I would say, is to involve them, give them ownership, whether it’s research, campaigns, drills, or whatever it is",,
KII_P2,Other Recommendations,Responsible Authorities,,"I think, if we can identify the areas most vulnerable to heat, it doesn’t need to be all year round, but during those critical times, the government should make special provisions. For example, they could provide water for people walking, offer cold water, or TCB could provide food and offer cold water during that time. Maybe add a little salt, but not sugar. These initiatives should come from the government.",,
KII_P2,Other Recommendations,Responsible Authorities,,"So, we need to take adaptive measures because we can't take mitigative measures—simply because we don’t have the capacity for that.",,
KII_P2,Other Recommendations,Responsible Authorities,,"The government just needs to give a design and say, “You can do something like this,” or NGOs can play a role here, at a low cost. It might cost about five thousand taka if you do it this way, but you need to make sure that the water line is not from our WASA line because if the water causes diseases, that’s a problem. So, we need to ensure that potable water is provided. When we talk about mosques, that’s enough, we have mosques all over a neighborhood, right? I’m talking about Dhaka city. So, we can solve environmental problems around a mosque. For example, I’m not sure if the planning I was talking about will be implemented in South City Corporation, but the idea was that every ward office should have all kinds of arrangements in place, so that no one has to go outside for anything. There should be trees, everything should be there. If every ward has such a center, it would work.",,
KII_P2,Other Recommendations,Responsible Authorities,,"For instance, if one area remains cooler, why should my area be hot? How did they manage that? If we can present a comparative model, for instance, Dhaka, where the ward is the smallest administrative unit, right? The elected representatives of each ward need to take responsibility for this. Without the elected representatives taking responsibility, no problem will be solved permanently.",,
KII_P2,Other Recommendations,Responsible Authorities,,"Just focusing on reducing heat vulnerability in isolation won’t work. It must be a holistic approach. In addition to heat, we need to address air pollution, noise pollution, and other factors together.",,
KII_P3,Other Recommendations,Responsible Authorities,,"Two things need to be done. First, the government or the city corporation alone cannot handle this issue. Employers in the private sector—whether they own factories, shops, or employ rickshaw pullers—must play a benevolent role. Otherwise, relying solely on government subsidies or initiatives will not be enough.",,
KII_P3,Other Recommendations,Responsible Authorities,,"Not at all. However, it is still better than nothing. This effort needs broader participation. The City Corporation alone cannot handle this. Other institutions such as WASA, the Fire Service, and even the Navy need to get involved to scale up this initiative.",,
FGD2_P6,Recommended Adaptation Strategies,Roof Gardening,,Very few.,,
FGD-5_P11,Recommended Adaptation Strategies,Roof Gardening,,"“Also, every market has an empty roof. If the government takes the initiative, rooftop gardening can be implemented. That’s also a way to plant trees (another participant agrees).”",,
FGD-5_P11,Recommended Adaptation Strategies,Roof Gardening,,"“Yes, regarding the initiatives by the government or organizations like yours, the rooftops of both public and private markets that are currently unused could be turned into permanent gardens. Completed market buildings with accessible rooftops could grow plants, whether vegetables or timber, which could help with oxygen production. This can be done by the government, by forming committees, or even leasing it out to others. Markets that are still under construction may require alternative solutions. However, for completed structures where no further levels will be added, rooftop gardening is a viable option.”",,
FGD-6_P1,Recommended Adaptation Strategies,Roof Gardening,,“It should be made mandatory.”,,
FGD-6_P7,Recommended Adaptation Strategies,Roof Gardening,,"“I think since the space for planting trees is decreasing day by day, planting trees on rooftops should be strongly encouraged.”",,
FGD-8_P10,Recommended Adaptation Strategies,Roof Gardening,,"Also, some people don’t want to have rooftop gardens because of dengue. Last year, where we used to live (we’ve since moved), the entire rooftop was a garden, except for the walkway. The homeowners lived on the 2nd and 3rd floors, and we lived on the ground floor. Out of four of us in my family, all of us had dengue. Three out of five members of the homeowner's family also got dengue.",,
KII_P8,Recommended Adaptation Strategies,Roof Gardening,,"Brac University is a perfect example. They have turned the entire university into a green space, which automatically helps regulate the weather within the campus. Similar initiatives can be taken not only for universities but for all institutions. If we green the universities and also the rooftops, I believe it would be the most effective approach for Dhaka. If every building in the city had greenery on top, it would help. Some might argue that small trees or vegetable gardens wouldn’t make much of a difference, but they would still contribute. If we collectively green all rooftops, even if just a little, we will be able to reduce the temperature to some extent.”",,
"FGD3_P2,P7,P5,P8",Recommended Adaptation Strategies,"Roof Gardening, Innovative suggestions",,"Only trees can help. Trees along the roadsides.Trees, okay.Wherever there is some space, plant trees there. R: Okay, what would happen if trees are planted here? P2: You’d get good oxygen, protection from heat, and many other benefits. R: Are there rooftop gardens in the houses here? P7: There are some, moderately. P5: There used to be more, but many have been removed. P8: Let me tell you something. In our mosque, there are trees on the roof. R: Oh, really? P8: No matter how much sunlight there is, you won’t feel the heat inside. You wouldn’t even realize it because the entire roof is covered with trees.",,
KII_P2,Adaptive capacity,Roof Gardens,,"There is scope, and it is even shown in the paper. It is specifically mentioned by ward as well—our South City Corporation, for instance, this should not be done in North City Corporation. (M: This is from the 2022 paper?) Yes, it’s mentioned in the 2022 paper that the areas where this can be done are identified by ward. And in areas where there’s no open space, it is suggested to do it on the rooftops of houses. So, the ward commissioner of that area should be informed that there’s","Participants mentioned that although roof gardening started as a habit, it has proven to be an innovative and effective way to cool their roofs and thus reduce the heat inside their houses. One of the KII participants highlighted rooftop gardening as a potential heat adaptation strategy, particularly for wards lacking adequate open spaces for tree plantation. According to the participant, residents in such areas are encouraged to utilize rooftop spaces for planting vegetation. The participant also referred to a publication from 2022 that identified specific ward numbers suitable for implementing rooftop gardening initiatives. This suggests that city corporation authorities are increasingly recognizing rooftop gardening as a potential strategy for mitigating the impacts of rising urban heat.",
FGD3_P5,Adaptive capacity,Roof Gardens,,"If you look in front of the houses, there are lots of jujube or other trees, and their branches cover the roofs, keeping the roofs cooler.",,
FGD-6_P1,Adaptive capacity,Roof Gardens,," “Yes, it’s a hobby, but it has benefits. From this hobby, we’re getting oxygen and humidity as well.”",,
FGD-8,Adaptive capacity,Roof Gardens,,"If there were rooftop gardens, wouldn’t it help reduce the heat? Yes.",,
KII_P2,Adaptive capacity,Salines and Medicines,,"I’ll also speak theoretically on this  I haven’t researched it directly, and I’m not a doctor. But from what I know, back in 2008-2009, we did a bit of work in which we raised awareness among rickshaw pullers to keep saline water with them. Drink water, but drink saline water. This was happening, but we hadn’t said it then. But later on, I saw that rickshaw pullers started keeping it on their own.","Consumption of saline water, lemon juice sold by the street sellers was described by study participants as one of the most common adaptive practices for coping with extreme heat, particularly among rickshaw pullers and other outdoor workers regularly exposed to direct sunlight. Shopkeepers reported a noticeable rise in the sale of saline products during the summer months. One of the KII participants noted that, although drinking saline water was not previously a common practice within this population, it has now become widely adopted as a heat-coping strategy indicating the increased awareness regarding the importance of maintaining hydration during hot weather and have become a effective adaptive method.",
FGD2_P1,Adaptive Capacity,Salines and Medicines,,"P1: Because of the heat, we sold a lot of saline and medicines this year. The demand was so high that we couldn’t keep up with it",,
FGD2_P1,Adaptive Capacity,Salines and Medicines,,Mostly saline—saline sells the most.,,
FGD2_P3,Adaptive Capacity,Salines and Medicines,,"Then, I quickly pour water on my head, or I take a saline solution. After that, I feel better and continue.",,
FGD7_P3,Adaptive capacity,Salines and Medicines,,"Yes, saline with water. Regular or even cold water doesn’t help.",,
FGD7_P7,Adaptive capacity,Salines and Medicines,,We also drink saline and lemon juice.,,
FGD-8_P2,Adaptive capacity,Salines and Medicines,,"Yes, we have to buy oral saline. Also, lemon sherbet is something we need more of.",,
KII_P2,Adaptive capacity,Salines and Medicines,,"when rickshaw pullers were told to drink saline water, they weren’t doing it at first, but now they do. They realized that it helped them pedal better. Now, the situation is different, and physical strain is not the same as before.",,
KII_04_M5, Heat Exposure,Seasonal Variation,,"Also, day by day, although summer spans March, April, and May, it’s gradually extending. Now, we’re seeing heat strokes or heat waves during the monsoon period as well. So, the scope of this is expanding.",,
"FGD3_P9, P3",Heat Exposure,Seasonal Variation,,"That’s how it feels now, as if the climate has shifted to just two seasons. And then there’s this muggy, humid heat.",,
"FGD3_P9,P1",Heat Exposure,Seasonal Variation,,"Our country used to have six seasons. now it feels like just two—summer and winter. Yes, only two seasons remain.",,
KII_04_M5,Heat Exposure,Seasonal Variation,,"Yes, it’s now appearing in the monsoon period as well. In August and September, we are seeing mild to moderate heat waves in many places.",,
FGD-4_P6,Adaptive capacity,Shade,,"“When it's hot, I go to the shade. I look for any place with cool air.”",People who work outdoors often seek shade under trees when the heat is extreme. Participants stated that sitting under a tree helps as cool air soothes their bodies and makes them feel relieved.,
FGD2_P2,Adaptive Capacity,Shade,,"Or inside the school, or we stand in front of the school under a tree for a bit of rest, leaving the shop’s work aside.",,
FGD2_P2,Adaptive Capacity,Shade,,"We sit at the tea stalls, for example.",,
FGD2_P6,Adaptive Capacity,Shade,,We sit under the tree.,,
FGD3_P1,Adaptive Capacity,Shade,,"If it gets too hot, you can sit under the trees. How will the heat bother you then?",,
FGD-4_P2,Adaptive capacity,Shade,,"“I go under the trees, take a rickshaw, and rest there, take a nap.”",,
FGD-6_P3,Adaptive capacity,Shade,,"“We used to sit under trees. Sometimes, we even slept in the fields.”",,
FGD-6_P6,Adaptive capacity,Shade,,“The cool breeze under the trees was so nice.”,,
FGD-6_P6,Adaptive capacity,Shade,,"“When there’s shade over the roof, it stays cool.”",,
FGD-6_P6,Adaptive capacity,Shade,,"“Wherever there’s shade, it’ll be cooler.”",,
FGD-6_P6,Adaptive capacity,Shade,,"“During that time, we go outside and sit in the shade.”",,
FGD-6_P7,Adaptive capacity,Shade,,“There are no trees here. We just sit in whatever shaded area we can find..”,,
P3,Adaptive Capacity,Shade,,"From Kanchpur to Dakshinkhan, you’ll find trees along the road.",,
FGD2_P4,Recommended Adaptation,Shaded Areas,,"Do you think there's a need for bus shelters in your area? Of course, it’s needed.",,
FGD2_P6,Recommended Adaptation Strategies,Shaded Areas,,It would be better if they were in the open spaces.,,
FGD7_P7,Recommended Adaptation Strategies,Shaded Areas,,Adding canopies in certain areas would help.,,
KII_04_M1,Recommended Adaptation Strategies,Shaded Areas,,"A proactive activity involves consulting with the government, and what we can do immediately is focus on the most vulnerable groups—daily wage laborers, rickshaw pullers, etc. For them, we can set up cooling centers or shaded areas where they can sit and rest. Additionally, we can arrange fans in these places and provide water or saline if necessary. These cooling centers were established on roadsides last year in several locations as part of the anticipatory action strategy.",,
KII_P6,Recommended Adaptation Strategies,Shaded Areas,,"First of all, the parks will serve as a green body, they are absorbing the heat. Not only heat, but if you study, they might also be absorbing carbon dioxide. It may not be on a massive scale, but it will help cool the temperature and add value to recreation. So, from this perspective, green bodies—and it’s not only parks, you should also look at water bodies. A fire breaks out, the fire brigade can’t find a water source, where will they get it from? Water bodies aren’t just cooling down the temperature they serve many purposes.",,
FGD-9_P2,Recommended Adaptation Strategies,"shaded areas,access to safe drinking water",,"Yes, it’s necessary. If there’s a water source near the passenger shelter, people can sit and drink water.",,
FGD-9_P9,Recommended Adaptation Strategies,"shaded areas,access to safe drinking water",,"If a tank is placed in a spot, having a shelter nearby would be enough.",,
FGD-4_P3,Adaptive capacity,Shades,,"“It feels the same, but I usually go under the tree for shade.”",,
KII_04_M3,Adaptive capacity,Spending time in open spaces,,"Yes, they have adapted. Another factor is that open spaces allow for better wind circulation.","Most of the participants described that during extreme heat, people sit outside their homes and spend time in open outdoor spaces as a common coping strategy. In informal settlements, many households reportedly have limited ventilation due to no windows, to which residents associated with concerns about theft and security. As a result, indoor environments often become excessively hot and poorly ventilated, particularly during electricity outages. To cope with these conditions, residents frequently rest in open areas with better air circulation, such as open spaces in front of their homes or nearby shops, open streets, railway tracks, and shaded areas under trees. Participants mentioned such spaces as comparatively cooler and more breathable, making them important and easily accessible means of coping with extreme heat.",
FGD2_P3,Adaptive capacity,Spending time in open spaces,,"These days, people don’t stay at home much. They only go home to sleep or eat.",,
FGD2_P3,Adaptive capacity,spending time in open spaces,,"Sometimes, due to the heat, I leave the shop, go outside, and sit by the side.",,
FGD2_P3,Adaptive capacity,spending time in open spaces,,"For example, at the school gate, even if there’s no wind in some places, we still get a breeze at the school gate.",,
FGD2_P7,Adaptive capacity,Spending time in open spaces,,"Those who stayed at home only did so during meal times. the rest of the time, they were outside.",,
FGD3_P1,Adaptive capacity,Spending time in open spaces,,"The main reason is openness (spaciousness), completely open and surrounded by trees and plants",,
FGD-6_P3,Adaptive capacity,Spending time in open spaces,,“We go to open spaces and try to catch our breath.”,,
FGD-6_P3,Adaptive capacity,Spending time in open spaces,,“Everyone sits in front of the shop or outside the shop.”,,
"FGD7_P3,P6,P9",Adaptive capacity,Spending time in open spaces,,"So when there’s no electricity, you sit outside, under the trees if there are any? Yes, yes.",,
FGD7_P4,Adaptive capacity,Spending time in open spaces,,We sit outside in the open.,,
FGD7_P9,Adaptive capacity,Spending time in open spaces,,Everyone sits outside.,,
FGD-8_P3,Adaptive capacity,Spending time in open spaces,,"When it gets unbearable, we go and sit by the railway tracks. At night, we come back home.",,
FGD-9_P4,Adaptive capacity,Spending time in open spaces,,"In the summer, we used to lie on the street there.",,
FGD2_P6,Adaptive Capacity,"Spraying water, Saline",,"At the pharmacy, I poured water on his head. After that, he felt a little better. Then I gave him some saline to drink. Once he recovered, I arranged a rickshaw for him, and he went home.",,
FGD-8_P10,Barriers to Coping Heat,Thieves,,"There’s risk even at night because you have to keep the windows shut while sleeping. There’s no way to let in even a little breeze through the windows at night. Why? Because thieves sneak in at night through the windows to steal phones, money, or even necklaces. This happened to people in our neighborhood—we’ve seen it.",,
FGD-8_P10,Barriers to Coping Heat,Thieves,,"But during power outages in summer, we have to keep it open sometimes. If I’m in one room and no one is in the other, some thief might sneak in. And that’s what happened. One thief came in and even went up to my fridge. I noticed it later. They had entered despite the CCTV cameras. They check the place and leave, knowing there’s a camera. Sister, the lack of security and their boldness is shocking—they don’t seem to fear anything.",,
FGD-8_P5,Barriers to Coping Heat,thieves/buglary,,"Whatever air does come in, we can’t keep things open enough because thieves sneak in and steal. That’s why we can’t keep things as open as we’d like.",,
FGD-8_P6,Barriers to Coping Heat,thieves/buglary,,"Even if the house gate is open, some air might enter, and the hot air could escape. But because of fear of thieves, we can’t even do that. Plus, we’re busy with household work.",,
FGD2_P3,Heat Exposure,Time spent under direct sunlight,,P3: We stay on the streets all day. Heat is a daily companion for us. Heat and dust—they are our companions.,,
FGD2_P7,Heat Exposure,Time spent under direct sunlight,,"We are on the streets all day.  we experience the effects of both heat and cold. Sometimes getting wet in the rain helps, but it also causes problems",,
FGD3_P2,Heat Exposure,Time spent under direct sunlight,,I work all day under the sun.,,
FGD3_P6,Heat Exposure,Time spent under direct sunlight,,"Yes, we do",,
FGD-4_P2,Heat Exposure,Traffic,,“The heat increases when you're stuck in traffic.”,,
FGD-4_P3,Heat Exposure,Traffic,,"“No, outside Dhaka University, the heat is a bit more, especially when you get stuck in traffic.”",,
FGD-4_P4,Heat Exposure,Traffic,,“Traffic jams increase the heat when cars are stuck.”,,
FGD-4_P6,Heat Exposure,Traffic,,"“During summer, it’s extremely hot, brother. It’s bound to be hot in Dhaka city. Compared to villages, the city is much hotter. Especially here, there are buses, traffic jams, and vehicles everywhere, which makes the air polluted. When the air is polluted, the temperature naturally rises.”",,
FGD-6_P1,Heat Exposure,Traffic,,"“Since traffic jams are a factor, especially on this road, lately, there’s been severe congestion here. One of the main reasons is the lack of traffic management, which makes the jams even worse. This issue needs to be addressed first.”",,
FGD-6_P2,Heat Exposure,Traffic,,"“Yes, it does. There’s always traffic congestion in that area.”",,
FGD-6_P2,Heat Exposure,Traffic,,"“Yes, there’s always heavy traffic. Most of the time, there are crowds, and there’s constant noise from vehicles.”",,
FGD-6_P3,Heat Exposure,Traffic,,"“There’s also traffic congestion, which contributes.”",,
FGD-6_P3,Heat Exposure,Traffic,,"“Regarding pedestrians, suppose someone steps out of your shop into the heat. After a while, they get stuck in traffic. The traffic jams contribute significantly to the heat. If the roads were clear, there would be better airflow, but when stuck in traffic, the situation worsens due to the heat caused by congestion.”",,
KII_P5,Heat Exposure,Traffic,,"The second reason is the traffic congestion here, the amount of air conditioning used in Dhaka city, and the use of air conditioning in every vehicle, as well as two-stroke vehicles or high fuel-consuming vehicles. As the use of such vehicles increases, it also contributes to the rise in temperature beyond the",,
KII_P8,Heat Exposure,Traffic,," “The way we use transportation is not proper. The emissions from our vehicles—where are they being trapped? The waste we generate and the methane we produce—while we often claim that we do not contribute much to carbon dioxide emissions, we still do! Even if I contribute only 0.0002%, I am still contributing, and that harms our environment.”",,
"FGD3_P2,P7",Heat Exposure,Travel-related Exposure,,"Yes, it’s a bit hot when we go to the market.The roads are paved. The heat rises from the paved roads. Yes, that’s true. The heat we feel from the market comes from the road.",,
KII_P2,Heat Exposure,Travel-related Exposure,,The general public who use buses or rickshaws regularly have to go outside for a certain period.,,
KII_P7,Heat Exposure,Travel-related Exposure,," “It's quite natural that heat effects are more in urban areas. The pressure from traffic, then the emitted gases, smoke, engine heat.”",,
FGD2_P6,Health Impact,Treatment,,"I mean, I took him to a pharmacy.",,
FGD-4_P1,Health Impact,Treatment,,"“Yes, you need medicine, like saline.”",,
FGD-4_P5,Health Impact,Treatment,,"“Sometimes, we buy a ticket for 3 Taka from a government hospital.”",,
FGD-4_P5,Health Impact,Treatment,,"“Yes, at the government hospital. After telling them about the issue, they prescribe medicine. Some are free from the government, and the ones we need to buy, we pay for them.”",,
FGD-4_P6,Health Impact,Treatment,,"“If there’s a serious issue, I go to the doctor. Otherwise, I just buy medicine from the pharmacy.”",,
FGD-5_P10,Health Impact,Treatment,,"“No, that’s it. When someone becomes senseless from the heat, we lay them down here and give them water. Once they feel better, we send them to the hospital if needed.”",,
FGD-6_P4,Health Impact,Treatment,," “If you get sick, you have to take them.”",,
FGD7_P9, Heat Exposure,Tree Cover,,"When we talk about more heat, in rural areas, you’ll see a lot of trees and greenery. But in Dhaka city, you’ll notice that there aren’t many trees or greenery in most places. That’s why the temperature is higher. In the villages, even if you don’t get anything else, you’ll still have fresh air from the trees. But in the city, we don’t get that, which is why the temperature is higher here.",,
"FGD-4_P1,P2,P3,P6",Heat Exposure,Tree Cover,,“There are no trees.”,,
FGD-4_P6,Heat Exposure,Tree Cover,,"“Yes, and there aren’t any trees either.” ",,
FGD-5_P11,Heat Exposure,Tree Cover,,"“It’s not just about Old Town. (P2: From Nawabpur, for example.) Look at the number of trees in Ramna Park versus how many trees are in Old Dhaka. If you calculate, you’ll see the difference. Ramna Park has trees, while Old Dhaka has none.”",,
FGD-5_P11,Heat Exposure,Tree Cover,,"“Buildings, factories, people, vehicles—there are no trees. (P8: Not a single tree.)”",,
FGD-5_P5,Heat Exposure,Tree Cover,,"“there are no trees around. So, the smoke, the crowd, and the lack of greenery all contribute to the heat.”",,
FGD-5_P6,Heat Exposure,Tree Cover,,"“Yes, the absence of trees definitely increases the heat.”",,
FGD-5_P8,Heat Exposure,Tree Cover,,“There aren’t any trees within 5-6 kilometers.”,,
FGD-5_P8,Heat Exposure,Tree Cover,,“Not a single tree.”,,
FGD-5_P8,Heat Exposure,Tree Cover,,“There’s not a single tree here.”,,
FGD-6_P1,Heat Exposure,Tree Cover,,"“Around here, there’s less greenery, so it feels hotter.”",,
FGD-6_P3,Heat Exposure,Tree Cover,," “Also, in a city like Dhaka, there isn’t much greenery anyway. That’s one reason.”",,
FGD-6_P6,Heat Exposure,Tree Cover,,"“It could be due to several factors, one of which is the lack of greenery.”",,
FGD-8_P1,Heat Exposure,Tree Cover,,"On the other hand, in areas like Gulshan or Banani, even if there are big buildings, you’ll still find large trees along the roads. Absolutely. That’s why it feels a bit cooler in those areas.",,
FGD-8_P10,Heat Exposure,Tree Cover,,"A few days ago, during the time when the temperature was around 40–43 degrees Celsius, I went to Ramna Road in the afternoon. As soon as I got there, I felt like it wasn’t hot at all—it was cool and pleasant. And I thought, why is that? It’s because the roads on both sides were lined with big trees, providing shade. That’s the only reason it felt cool there.",,
KII_P7,Heat Exposure,Tree Cover,,"“Additionally, Dhaka city has less green area, and this could be one of the factors. There are hundreds of such reasons. Those who do research would provide further reasons.”",,
FGD2_P2,Recommended Adaptation Strategies,Tree plantation,,"Yes, there are trees and plants around.",,
"FGD2_P6,P2,P9",Recommended Adaptation Strategies,Tree Plantation,,"If trees are planted along all the roads, it would greatly reduce the heat impact.You know, they are cutting all the trees near our place while they’re working. More trees would reduce the heat.If they plant a tree after the roadwork is done, it will provide shade.",,
FGD3_P1,Recommended Adaptation Strategies,Tree plantation,,"Yes, everyone has planted trees. Suppose you own five kathas of land you’d plant trees around the perimeter and build your house in the middle.",,
FGD7_P7,Recommended Adaptation Strategies,Tree Plantation,,"If there was more space, maybe trees could have been planted. But planting trees on narrow roads would make them even more cramped.",,
FGD7_P7,Recommended Adaptation Strategies,Tree Plantation,,"Yes, planting trees would help.",,
FGD-8_P2,Recommended Adaptation Strategies,tree plantation,,"Planting trees can reduce heat. For example, in my father’s village in Keraniganj, we never experienced this kind of heat while growing up because of the abundance of trees.",,
FGD-8_P5,Recommended Adaptation Strategies,tree plantation,,"There is space. For example, the roadside areas where shops are set up—if those shops weren’t there, the landlords could plant trees instead of renting out the space. But I don’t think they’d do that.",,
KII_P3,Recommended Adaptation Strategies,Tree Plantation,,"To reduce heat, there are two ways: one is to create more water bodies, and the other is to plant a significant number of trees. In public spaces, in occupied areas, and on traffic islands, planting trees is the only way, and this requires everyone's participation.",,
KII_P5,Recommended Adaptation Strategies,Tree Plantation,,"Therefore, we are prioritizing certain trees that can absorb heat, capture carbon dioxide, and play a significant role in cooling the environment.",,
KII_P5,Recommended Adaptation Strategies,Tree Plantation,,"We are considering an urban lifeline policy, where in these areas, if there is any housing or any project under a housing authority, we had a meeting last year with various private housing authorities. We told them that the land they are filling with sand, if they could at least add green vegetation or agriculture, there would be some production, and the land would be used. At least there would be something productive. Having green vegetation would help to regulate the temperature, and this would play a significant role in making the temperature more tolerable.",,
KII_P5,Recommended Adaptation Strategies,Tree Plantation,,"we mentioned that there are 65 ponds, and definitely, around these ponds, the banks are still empty. If we create a scope for planting trees on these banks, then surely, some trees there can play a role in the environment, and that role could be very important.",,
KII_P7,Recommended Adaptation Strategies,Tree Plantation,,"“The environment needs to be protected. That’s the only thing. The environment needs to be protected. The public in Dhaka city, which is densely populated, needs to be protected. And planting trees, doing other things… these need to be done gradually.”",,
KII_P8,Recommended Adaptation Strategies,Tree Plantation,,"“Additionally, during Annisul Huq’s tenure in the city corporation, he initiated a large-scale plantation program. The goal was to ensure year-round tree planting along road dividers and available roadside spaces. I am not sure if the city corporation is still continuing this initiative, but it is definitely necessary. The more greenery we create, the more we can reduce temperatures. This should be a continuous process.”",,
"FGD2_P2,P3",Barriers to Coping Heat,Unavailability of government services,,It’s mostly a personal initiative now,,
"FGD2_P2,P8",Barriers to Coping Heat,Unavailability of government services,,"They don’t plant any. They give projects, but implementation doesn’t happen.",,
FGD2_P3,Barriers to Coping Heat,Unavailability of government services,,"No, there is nothing (drinking water supply) like that here.",,
FGD2_P6,Barriers to Coping Heat,Unavailability of government services,,"If someone falls sick due to heat, is there no immediate system or arrangement for treatment?No, we can't do anything else suddenly.",,
FGD2_P7,Barriers to Coping Heat,Unavailability of government services,,"No, we haven’t received any kind of help like that from the government",,
"FGD3_P2,P4,P8,P9",Barriers to Coping Heat,Unavailability of government services,,"No, no government facility. It’s privately owned. People in this area haven’t received anything from the government yet.",,
"FGD3_P7,P9",Barriers to Coping Heat,Unavailability of government services,,"It's like everyone is doing whatever they can. If they did something, you’d still be stuck. You could’ve used our road instead. ",,
"FGD3_P9,P3,P2,P4",Barriers to Coping Heat,Unavailability of government services,,"No, we haven't seen any such facilities in this area. R: Have you seen anything like that in other areas? We saw something like this when Awami League came 15/16 years ago. In Kachkura, in Ward 44, I haven't seen anything like that. No, it hasn’t happened. I've worked in the entire Ward 44 from the Chairman’s time, and I haven’t seen anything like that either. No one has seen it. It hasn’t happened yet.",,
FGD-4_P3,Barriers to Coping Heat,Unavailability of Government Services,," “The government should assign someone to look after these places and maintain the shelters. People who need a rest could sit and have a drink of water and then continue their work. But some people misuse the space, and it becomes unsuitable for others. There are many people in Dhaka those do not have any place to live, floating population. They disrupt the environment of the places.”",,
FGD-4_P4,Barriers to Coping Heat,Unavailability of Government Services,,"“If they try, everything can be done. If they don’t try, nothing will happen.”",,
FGD-9_P10,Barriers to Coping Heat,Unavailability of Government Services,,"Yes, when environmental inspectors come, the factory is shut down at that time.",,
FGD-9_P9,Barriers to Coping Heat,Unavailability of Government Services,,"Currently, there’s not much in terms of medical facilities.",,
KII_P1,Barriers to Coping Heat,Unavailability of Government Services,,"Ah! For Dhaka, that’s a good question. Logically, an infrastructure-based system would be better, but whether it would work in Dhaka—I really doubt it. Because here, we can’t even maintain the drainage system properly or manage solid waste effectively. It’s very wishful thinking to expect water to come from such a system and cool down Dhaka city. Yes, theoretically, it is possible, and some journals may even suggest it. But as an element of this city, I still don’t have strong confidence in it.",,
"P3,P7",Barriers to Coping Heat,Unavailability of government services,,"After the playground, swimming pools are also left empty. None of them are effective. Government land is left unused.",,
P9,Barriers to Coping Heat,"Unavailability of government services, Unimplimentation of plans",,"I have a relative who lives near Brac University, and despite the large buildings there, there’s not a single tree around",,
"FGD3_P2,P3,P7,P9",Health Impact,Unavailability of Treatment,,"No, no. there are none here.",,
FGD7_P6,Adaptive capacity,Using Hand Fan,,"""And what about using hand fans?"" -""Yes, we use those too.""","Since there are frequent electricity outages, people rely on using hand fans. This helps to reduce the discomfort a little. Also, while traveling in a vehicle, hand fans are useful.",
FGD2_P6,Adaptive capacity,Using Hand Fan,,"People are experiencing discomfort. For example, this year’s heat has caused significant unease. Like, many times I sold hand fans due to the heat, but even selling fans didn’t meet the demand",,
FGD-6_P6,Adaptive capacity,Using Hand Fan,,“Sometimes we use hand fans.”,,
KII_P3,Adaptive capacity,Using Umbrella,,"If we talk about the city corporation, our efforts really started last year. The initiatives included ensuring access to potable water at our ten regional offices when the heatwave struck so that people could drink water. Besides these ten regional offices, we also provided potable water in places with high public gatherings. We arranged umbrellas for rickshaw pullers in some locations. We started spreading awareness messages on social media about how people could protect themselves from heat stress. We conducted media campaigns as well. These are the activities we have carried out.","Some participants said they carry and use umbrellas, while a few noted that umbrellas are not very convenient or useful in this crouching heat.",
FGD-5_P10,Adaptive capacity,Using Umbrella,,"“Some do, some don’t. Many find it inconvenient and don’t use them (M: Rarely?). Rarely anyone uses umbrellas.”",,
FGD-5_P8,Adaptive capacity,Using Umbrella,,"“Yes, we do (P2: Yes, everyone has umbrellas).”",,
"FGD-6_P2,P4,P6",Adaptive capacity,Using Umbrella,,"“Yes, we do.”",,
FGD-9_P1,Adaptive capacity,Using Umbrella,,"Besides, not many people keep umbrellas. Having an umbrella is also a hassle—you have to hold it with your hand. And sometimes, there’s no proper place to tie it down.",,
FGD-9_P5,Adaptive capacity,Using Umbrella,,"Even if we use umbrellas, they don’t really help with this heat.",,
"FGD3_P1,P6",Adaptive Capacity,Using Umbrellas,,We use umbrellas.,,
KII_P1,Adaptive capacity,Vegetation Extent,,"One approach is what we always suggest—planting trees and ensuring water bodies. Another issue is spacing and openness of areas to facilitate better air circulation. Additionally, materials used in construction, such as rods, play a major role. We need to explore how we can change these materials. In Dhaka, it's not only about heat but also about smart materials, which is another important aspect to consider.",,
FGD-4_P3,Heat Exposure,Vehicles,,“There are too many vehicles; the traffic is unbearable.”,,
FGD-4_P3,Heat Exposure,Vehicles,," “Yes, it feels less hot when there’s no heat from the cars.”",,
FGD-4_P3,Heat Exposure,Vehicles,,"“The heat on the road comes from vehicles, not from nature. The heat comes from the engines of motorcycles, trucks, private cars, and all other vehicles. The engines are running constantly, and the heat from the engines evaporates and affects people's bodies.”",,
